corpus	sent_id	left	node	right	node_sentences	usage
ind_mixed_2012_1M	42333	Itu pun jika bunga yang	dikenakan	pada anda sebesar tidak lebih dari 18% setahun.	Itu pun jika bunga yang <m>dikenakan</m> pada anda sebesar tidak lebih dari 18% setahun.	wear
ind_mixed_2012_1M	584073	Saya merasa kasihan karena perbudakan Iblis telah	dikenakan	pada Anda, maka aku akan menerima niat Anda sebagai perbuatan.	Saya merasa kasihan karena perbudakan Iblis telah <m>dikenakan</m> pada Anda, maka aku akan menerima niat Anda sebagai perbuatan.	subject to/imposed
ind_mixed_2012_1M	263420	Pada tgl 8 Februari, saya pergi ke pertemuan grup di Las Vegas dan membeli PolarWearz Headband yang	dikenakan	pada bagian leher saya.	Pada tgl 8 Februari, saya pergi ke pertemuan grup di Las Vegas dan membeli PolarWearz Headband yang <m>dikenakan</m> pada bagian leher saya.	wear
ind_mixed_2012_1M	58052	Tetapi penghapusan sewa desa ini pun oleh Daendels	dikenakan	pada desa-desa yang memproduksi barang yang tidak menguntungkan gubernemen.	Tetapi penghapusan sewa desa ini pun oleh Daendels <m>dikenakan</m> pada desa-desa yang memproduksi barang yang tidak menguntungkan gubernemen.	subject to/imposed
ind_mixed_2012_1M	728619	Alasannya dan tuduhan yang	dikenakan	pada dirinya ialah bahwa Pangeran Prabu Anom membahayakan tahta, tetapi penangkapan itu tidak berhasil.	Alasannya dan tuduhan yang <m>dikenakan</m> pada dirinya ialah bahwa Pangeran Prabu Anom membahayakan tahta, tetapi penangkapan itu tidak berhasil.	subject to/imposed
ind_mixed_2012_1M	947015	5) Pasal 406 KUHP dapat	dikenakan	pada kasus deface atau hacking yang membuat sistem milik orang lain, seperti website atau program menjadi tidak berfungsi atau dapat digunakan sebagaimana mestinya.	5) Pasal 406 KUHP dapat <m>dikenakan</m> pada kasus deface atau hacking yang membuat sistem milik orang lain, seperti website atau program menjadi tidak berfungsi atau dapat digunakan sebagaimana mestinya.	subject to/imposed
ind_mixed_2012_1M	563300	Sanki yang dikenakan pada non-muslim juga sama dengan sanksi yang	dikenakan	pada kaum muslimin.	Sanki yang dikenakan pada non-muslim juga sama dengan sanksi yang <m>dikenakan</m> pada kaum muslimin.	subject to/imposed
ind_mixed_2012_1M	701780	Cara Allah yang demikian itu hanya	dikenakan	pada kelahiran Yesus saja, dan hal itu hanya dimengerti dari penyataan Allah sendiri.	Cara Allah yang demikian itu hanya <m>dikenakan</m> pada kelahiran Yesus saja, dan hal itu hanya dimengerti dari penyataan Allah sendiri.	subject to/imposed
ind_mixed_2012_1M	325838	Dengan demikian ia dapat membuat gambar-gambar kecil yang kemudian dapat diberi tinta, lalu dapat	dikenakan	pada kertas.	Dengan demikian ia dapat membuat gambar-gambar kecil yang kemudian dapat diberi tinta, lalu dapat <m>dikenakan</m> pada kertas.	be applied to
ind_mixed_2012_1M	557247	"Kanon, dalam bahasa Yunani, berarti ""penggaris"" atau ""ukuran"" dan"	dikenakan	pada kitab-kitab dalam Alkitab yang dianggap otoritatif.	"Kanon, dalam bahasa Yunani, berarti ""penggaris"" atau ""ukuran"" dan <m>dikenakan</m> pada kitab-kitab dalam Alkitab yang dianggap otoritatif."	be applied to
